"Cash on delivery","Peníze při doručení"
"Costs for inland shipping","Cena za doručení"
"Costs for shipping to foreign countries","Cena za mezinárodní doručení"
"Custom text for checkout page","Text"
"You will be charged an extra fee of %s","Poplatek za dobírku: %s"
