"Enable log cleaning","Zapnout čištění logů"
"Error Email Recipient","Příjemce emailu - chyba"
"Error Email Sender","Odesilatel emailu - chyba"
"Error Email Template","Šablona emailu - chyba"
"Frequency","Frekvence"
"Log Cleaning","Vymazat logy"
"Log cleanup Warnings","Vymazat varování"
"Save log, days","Ukládat logy (ve dnech)"
"Start Time","Doba startu"
